"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEMODEL";"SPICEPREFIX";"SPICEPREFIXL";
"6";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"X101, X102, X201, X401, X402, X501";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"";"";"14";"";"";"";
"4";"MKDSN1,5/3-5,08";"MKDSN1,5/3-5,08";"MKDSN1,5/3-5,08";"X103, X104, X403, X404";"MKDSN 1,5/ 3-5,08 Printklemme";"";"";"";"";"0";"";"";"";
"2";"MPSA42";"MPSA42";"TO92-EBC";"Q102, Q402";"";"";"";"";"";"";"";"";"";
"2";"PC817";"PC817";"DIL04";"OK101, OK401";"SHARP OPTO COUPLER";"";"PC817X4J000F";"9707727";"97K7059";"20";"";"";"";
"6";"SK104-PAD";"SK104-PAD";"SK104-PAD";"KK817, KK818, KK819, KK820, KK821, KK822";"HEATSINK manufacturer Fischer/distributor Buerklin";"";"";"";"";"4";"";"";"";
"16";"SK95-2M3";"SK95-2M3";"SK95-2M3";"KK801, KK802, KK803, KK804, KK805, KK806, KK807, KK808, KK809, KK810, KK811, KK812, KK813, KK814, KK815, KK816";"HEATSINK manufacturer Fischer/distributor Buerklin";"";"";"";"";"0";"";"";"";
"4";"ST-SMB-V";"ST-SMB-V";"ST-SMB-V";"X301, X302, X601, X602";"MALE SMB CONNECTOR";"";"";"unknown";"unknown";"0";"";"";"";
"4";"T 315mA";"SH22,5";"SH22,5";"F101, F201, F401, F501";"FUSE HOLDER grid 22,5 mm, OGN0031 8201, Schurter (Buerklin)";"SCHURTER";"0031.8201";"1162740";"96F8317";"6";"";"";"";
"2";"T 3A";"SH22,5";"SH22,5";"F102, F402";"FUSE HOLDER grid 22,5 mm, OGN0031 8201, Schurter (Buerklin)";"SCHURTER";"0031.8201";"1162740";"96F8317";"6";"";"";"";
"2";"UF4003";"UF4003";"DO41-10";"D107, D407";"DIODE";"";"";"";"";"0";"";"";"";
